millis,id,hexString,length,parsedValue
1657041673704,0x70E,000000003C926785,2,"[0.0, 0.01787162758409977]"
1657041673704,0x717,0000000042C7FFFF,2,"[0.0, 99.99999237060547]"
1657041673704,0x075,0000000000000A00,2,"[1.0, 0.0]"
1657041673704,0x301,0000000000000000,3,"[0, 0, 0]"
1657041673704,0x440,02030000000006B4,5,"[76.80000000000001, 0.0, 0, 6, 180]"
1657041673704,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657041673705,0x041,0000000000000003,1,[3]
1657041673705,0x201,0000000000000000,2,"[0.0, 0.0]"
1657041673705,0x082,000000000000000F,1,[15]
1657041673705,0x471,000000000000000C,1,[12]
1657041673705,0x703,0000000000000000,2,"[0.0, 0.0]"
1657041673705,0x088,000000000000000B,1,[0.11]
1657041673705,0x703,0000000000000000,2,"[0.0, 0.0]"
1657041673705,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657041673705,0x201,0000000000000000,2,"[0.0, 0.0]"
1657041673727,0x471,000000000000000C,1,[12]
1657041673727,0x041,0000000000000003,1,[3]
1657041673727,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657041673727,0x250,0000000000000000,2,"[0, 0]"
1657041673727,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673727,0x260,0000000000000000,1,[0]
1657041673727,0x232,00000000FFFFFFE4,1,[-0.28]
1657041673728,0x410,069EBFCDFFCFFF19,2,"[1110.6708500000002, -87.3877500006991]"
1657041673728,0x23F,0000000004A105E7,2,"[11.85, 15.11]"
1657041673728,0x035,000000000000000A,1,[10]
1657041673728,0x034,0000000000000020,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657041673728,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673728,0x23C,0C9C0CA50D710CB1,4,"[32.28, 32.37, 34.410000000000004, 32.49]"
1657041673728,0x703,0000000000000000,2,"[0.0, 0.0]"
1657041673728,0x23D,0D230C570CA50CA6,4,"[33.63, 31.59, 32.37, 32.38]"
1657041673728,0x23E,0C620C5A07A30A68,4,"[31.7, 31.62, 19.55, 26.64]"
1657041673728,0x2F1,00000F830F750F77,3,"[39.71, 39.57, 39.59]"
1657041673728,0x233,00000D8F0F010901,3,"[34.71, 38.410000000000004, 23.05]"
1657041673728,0x235,9CFE9CD19CD39CA5,4,"[4.019, 4.0145, 4.0147, 4.0101]"
1657041673729,0x236,9C0D9C849C799C80,4,"[3.9949000000000003, 4.0068, 4.0057, 4.0064]"
1657041673729,0x237,9D0B9CCF9CD49CB7,4,"[4.0203, 4.0143, 4.0148, 4.0119]"
1657041673729,0x238,9C649CD39CB79D04,4,"[4.0036000000000005, 4.0147, 4.0119, 4.0196000000000005]"
1657041673729,0x239,9D0B9CEE9CD39C39,4,"[4.0203, 4.0174, 4.0147, 3.9993000000000003]"
1657041673729,0x23A,9CF09CD89CB99CF2,4,"[4.0176, 4.0152, 4.0121, 4.0178]"
1657041673729,0x23B,9CDA9CCF9CB29CEB,4,"[4.0154000000000005, 4.0143, 4.0114, 4.0171]"
1657041673729,0x230,00000000001124E6,1,[112.3558]
1657041673729,0x234,00009CBF9D0B9C0D,3,"[4.012700000000001, 4.0203, 3.9949000000000003]"
1657041673729,0x471,000000000000000C,1,[12]
1657041673729,0x041,0000000000000003,1,[3]
1657041673729,0x0A0,000000000016E392,1,[1.5000499999999999]
1657041673729,0x703,0000000000000000,2,"[0.0, 0.0]"
1657041673730,0x088,000000000000000B,1,[0.11]
1657041673751,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657041673752,0x201,0000000000000000,2,"[0.0, 0.0]"
1657041673752,0x471,000000000000000C,1,[12]
1657041673752,0x050,00000000000F42CE,1,[1.0001419999999999]
1657041673752,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
