type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.830814000,-106.346105000,5188.6,249.1,0.1,3.236,323.41,,,,,,,
T,42.830115000,-106.349272000,5195.9,252.2,-0.1,3.404,886.95,,,,,,,
T,42.829885000,-106.350285000,5190.0,252.5,-0.6,3.458,284.38,,,,,,,
T,42.829663000,-106.351373000,5179.0,253.3,-1.2,3.515,302.87,,,,,,,
T,42.829456000,-106.352253000,5169.8,253.1,-3.1,3.562,247.83,,,,,,,
T,42.829345000,-106.352694000,5165.7,253.1,-2.9,3.586,125.03,,,,,,,
T,42.829196000,-106.353275000,5160.6,252.6,-1.9,3.617,165.05,,,,,,,
T,42.828578000,-106.355021000,5150.7,249.4,-1.3,3.716,519.73,,,,,,,
T,42.827906000,-106.356918000,5148.8,246.6,-0.8,3.823,564.77,,,,,,,
T,42.827531000,-106.357904000,5148.3,245.1,-0.4,3.879,297.74,,,,,,,
T,42.826833000,-106.359939000,5149.5,244.7,0.1,3.993,602.30,,,,,,,
T,42.826576000,-106.360587000,5151.6,244.0,0.4,4.031,197.47,,,,,,,
T,42.826384000,-106.361045000,5153.2,243.6,0.6,4.057,141.40,,,,,,,
T,42.826071000,-106.361801000,5155.3,242.9,0.9,4.101,232.70,,,,,,,
T,42.825995000,-106.361970000,5155.1,242.7,0.6,4.112,53.13,,,,,,,
T,42.825832000,-106.362330000,5156.5,240.3,0.5,4.133,113.39,,,,,,,
T,42.825526000,-106.362959000,5155.8,238.9,0.6,4.171,202.27,,,,,,,
T,42.825104000,-106.363649000,5157.2,236.2,1.4,4.217,240.67,,,,,,,
T,42.824796000,-106.364135000,5160.1,233.3,1.3,4.249,172.05,,,,,,,
T,42.823101000,-106.366522000,5177.6,229.1,1.4,4.418,889.80,,,,,,,
T,42.822442000,-106.367482000,5180.6,228.1,1.4,4.485,352.17,,,,,,,
T,42.822240000,-106.367776000,5180.8,227.1,0.8,4.505,107.90,,,,,,,
T,42.822072000,-106.368078000,5180.4,227.0,-0.1,4.524,101.56,,,,,,,
T,42.821231000,-106.369516000,5176.1,227.9,-0.7,4.618,492.75,,,,,,,
