type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
W,39.092180328,-94.417052726,1045.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,A. Independence,
W,39.037730470,-95.676168265,899.3,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,B. Topeka,
W,40.882933512,-98.373416689,1866.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,C. Grand Island,
W,41.828385359,-103.707647140,4119.1,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,D. Gering,
W,42.866811643,-106.336730415,5302.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,E. Casper,
W,42.841597575,-108.745826606,5352.0,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,F. Lander,
W,42.322974163,-111.297701666,5980.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,G. Montpelier,
W,42.864735055,-112.452639552,4463.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,H. Pocatello,
W,42.583990486,-114.471057557,3656.8,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,I. Twin Falls,

type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,39.073866000,-94.432562000,955.4,181.7,0.6,1.897,406.64,,,,,,,
T,39.073300000,-94.432581000,958.9,181.7,0.4,1.936,206.22,,,,,,,
T,39.072979000,-94.432593000,960.0,181.7,1.2,1.958,116.97,,,,,,,
T,39.072751000,-94.432602000,960.3,181.7,1.0,1.974,83.08,,,,,,,
T,39.072609000,-94.432607000,960.4,181.6,0.5,1.984,51.74,,,,,,,
T,39.072421000,-94.432614000,960.7,181.6,0.3,1.997,68.50,,,,,,,
T,39.072364000,-94.432616000,960.7,181.7,0.3,2.001,20.77,,,,,,,
T,39.072331000,-94.432618000,960.8,181.7,0.0,2.003,12.03,,,,,,,
T,39.071792000,-94.432638000,961.2,181.7,-2.5,2.040,196.40,,,,,,,
T,39.071641000,-94.432644000,960.5,181.7,-2.7,2.051,55.02,,,,,,,
T,39.069343000,-94.432736000,932.6,181.8,-3.1,2.209,837.40,,,,,,,
T,39.068498000,-94.432776000,922.3,181.8,-3.4,2.268,307.98,,,,,,,
T,39.067407000,-94.432828000,904.7,181.9,-3.4,2.343,397.65,,,,,,,
T,39.066925000,-94.432850000,901.2,181.9,-2.8,2.376,175.67,,,,,,,
T,39.066626000,-94.432864000,899.2,182.0,-2.1,2.397,108.98,,,,,,,
T,39.066197000,-94.432884000,900.8,182.1,-0.5,2.427,156.36,,,,,,,
T,39.065839000,-94.432901000,901.5,182.1,0.6,2.451,130.48,,,,,,,
T,39.065783000,-94.432904000,901.7,182.1,0.9,2.455,20.41,,,,,,,
T,39.065257000,-94.432929000,904.9,182.1,0.4,2.491,191.72,,,,,,,
T,39.064763000,-94.432950000,905.3,182.1,0.2,2.526,180.03,,,,,,,
T,39.064007000,-94.432985000,903.7,182.1,0.1,2.578,275.54,,,,,,,
T,39.063761000,-94.432996000,902.9,182.0,-0.1,2.595,89.65,,,,,,,
T,39.063453000,-94.433010000,902.6,182.0,0.0,2.616,112.25,,,,,,,
T,39.062770000,-94.433038000,904.3,181.9,0.3,2.663,248.89,,,,,,,
T,39.061601000,-94.433090000,905.5,182.0,1.0,2.744,426.04,,,,,,,
T,39.060513000,-94.433125000,907.6,181.8,2.1,2.819,396.40,,,,,,,
T,39.059758000,-94.433157000,917.6,181.8,2.6,2.871,275.14,,,,,,,
T,39.058009000,-94.433230000,944.4,181.8,3.2,2.992,637.37,,,,,,,
T,39.057021000,-94.433275000,958.5,181.8,3.9,3.060,360.08,,,,,,,
T,39.056060000,-94.433322000,970.2,181.9,3.9,3.126,350.28,,,,,,,
T,39.055005000,-94.433374000,986.1,182.0,3.7,3.199,384.54,,,,,,,
T,39.054540000,-94.433397000,991.0,182.0,3.7,3.231,169.49,,,,,,,
T,39.054086000,-94.433419000,997.6,182.1,3.6,3.262,165.48,,,,,,,
T,39.053614000,-94.433442000,1004.1,182.2,2.2,3.295,172.04,,,,,,,
T,39.053125000,-94.433466000,1008.6,182.2,2.1,3.329,178.24,,,,,,,
T,39.051313000,-94.433531000,1016.2,181.9,1.8,3.454,660.24,,,,,,,
T,39.050879000,-94.433547000,1019.2,181.8,-0.3,3.484,158.14,,,,,,,
T,39.050819000,-94.433549000,1019.4,181.8,-0.2,3.488,21.86,,,,,,,
T,39.050855000,-94.434879000,999.4,202.0,-0.7,3.560,377.95,,,,,,,
T,39.050867000,-94.435350000,1005.9,212.9,-1.3,3.585,133.84,,,,,,,
T,39.050898000,-94.436486000,1008.7,259.8,-1.8,3.646,322.83,,,,,,,
T,39.050902000,-94.436587000,1007.3,270.6,-0.3,3.651,28.72,,,,,,,
T,39.050915000,-94.436954000,1002.0,272.1,-2.0,3.671,104.34,,,,,,,
T,39.050924000,-94.437209000,997.4,272.2,-1.2,3.685,72.50,,,,,,,
T,39.050936000,-94.437555000,993.2,272.3,1.8,3.704,98.36,,,,,,,
T,39.050986000,-94.438959000,1000.0,272.6,2.5,3.779,399.16,,,,,,,
T,39.051080000,-94.441059000,1030.5,272.9,3.0,3.892,597.39,,,,,,,
T,39.051090000,-94.441275000,1033.2,273.0,2.5,3.904,61.45,,,,,,,
T,39.051131000,-94.442196000,1039.8,273.1,2.4,3.954,261.99,,,,,,,
T,39.049778000,-94.441848000,1039.5,250.8,0.7,4.049,502.61,,,,,,,
T,39.049342000,-94.441736000,1038.8,232.7,0.4,4.079,161.96,,,,,,,
T,39.049165000,-94.441694000,1038.0,194.4,-0.2,4.092,65.56,,,,,,,
T,39.048933000,-94.441603000,1037.6,186.7,-0.4,4.109,88.36,,,,,,,
T,39.048766000,-94.441502000,1038.2,167.2,-0.3,4.121,67.25,,,,,,,
T,39.048644000,-94.441405000,1037.7,163.1,-0.3,4.131,52.28,,,,,,,
T,39.048483000,-94.441235000,1037.9,155.6,0.8,4.146,75.96,,,,,,,
T,39.048364000,-94.441061000,1036.9,148.5,1.7,4.158,65.73,,,,,,,
T,39.047999000,-94.440458000,1041.3,136.4,2.1,4.199,216.80,,,,,,,
T,39.047890000,-94.440253000,1046.3,132.1,2.4,4.213,70.47,,,,,,,
T,39.047852000,-94.440198000,1047.1,130.2,3.2,4.216,20.87,,,,,,,
T,39.047732000,-94.440022000,1048.4,128.6,1.6,4.229,66.40,,,,,,,
T,39.047540000,-94.439824000,1051.7,130.6,-4.0,4.246,89.74,,,,,,,
T,39.047338000,-94.439679000,1046.5,137.5,-4.3,4.262,84.32,,,,,,,
T,39.047042000,-94.439506000,1031.2,145.6,-2.1,4.284,118.48,,,,,,,
T,39.047010000,-94.439488000,1031.2,146.8,-0.6,4.287,12.73,,,,,,,
T,39.046684000,-94.439341000,1039.3,153.2,0.1,4.311,125.86,,,,,,,
T,39.046550000,-94.439296000,1049.3,157.5,4.6,4.320,50.45,,,,,,,
T,39.046305000,-94.439212000,1047.1,160.7,2.4,4.338,92.37,,,,,,,
T,39.046207000,-94.439180000,1045.8,163.1,-1.0,4.345,36.83,,,,,,,
T,39.045918000,-94.439112000,1041.0,165.0,-1.3,4.365,107.02,,,,,,,
T,39.045277000,-94.438967000,1034.1,168.3,-0.9,4.410,237.07,,,,,,,
T,39.045125000,-94.438935000,1042.2,168.9,-0.5,4.421,56.10,,,,,,,
T,39.044864000,-94.438880000,1042.1,169.9,0.7,4.439,96.34,,,,,,,
