type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,40.889880000,-98.424018000,1896.8,238.8,0.2,5.172,137.98,,,,,,,
T,40.889752000,-98.424295000,1896.8,239.0,0.1,5.189,89.67,,,,,,,
T,40.889480000,-98.424891000,1896.7,238.7,0.2,5.226,192.29,,,,,,,
T,40.888983000,-98.426001000,1896.6,238.8,-0.1,5.293,356.35,,,,,,,
T,40.888765000,-98.426489000,1897.4,239.1,0.1,5.323,156.57,,,,,,,
T,40.888695000,-98.426628000,1896.0,239.0,0.0,5.332,46.13,,,,,,,
T,40.887957000,-98.428276000,1897.5,239.2,0.1,5.432,529.09,,,,,,,
T,40.887432000,-98.429380000,1897.0,238.9,0.1,5.500,360.24,,,,,,,
T,40.886837000,-98.430687000,1898.7,238.8,0.2,5.580,421.42,,,,,,,
T,40.886562000,-98.431287000,1898.8,238.7,0.1,5.617,193.81,,,,,,,
T,40.886205000,-98.432065000,1899.5,238.8,0.2,5.664,251.39,,,,,,,
T,40.885983000,-98.432552000,1898.9,238.6,0.1,5.694,157.08,,,,,,,
T,40.885614000,-98.433357000,1899.4,238.8,0.1,5.743,260.04,,,,,,,
T,40.885497000,-98.433614000,1899.2,238.8,0.1,5.759,82.87,,,,,,,
T,40.884955000,-98.434797000,1899.5,238.8,0.1,5.831,382.10,,,,,,,
T,40.884522000,-98.435777000,1900.8,239.0,0.1,5.891,313.56,,,,,,,
T,40.882365000,-98.440504000,1902.5,239.0,0.1,6.180,1525.17,,,,,,,
T,40.882160000,-98.440953000,1901.5,239.0,0.2,6.207,144.89,,,,,,,
T,40.880103000,-98.445462000,1903.0,238.9,0.1,6.483,1454.77,,,,,,,
T,40.875685000,-98.455124000,1909.7,238.9,0.1,7.073,3119.35,,,,,,,
T,40.874210000,-98.458369000,1910.0,238.9,0.2,7.271,1046.03,,,,,,,
T,40.874200000,-98.458391000,1909.8,238.9,0.2,7.273,7.09,,,,,,,
T,40.873168000,-98.460646000,1912.1,238.9,0.1,7.411,728.22,,,,,,,
T,40.872679000,-98.461721000,1911.7,238.9,0.1,7.476,346.60,,,,,,,
T,40.872415000,-98.462302000,1912.5,238.9,0.1,7.512,187.27,,,,,,,
T,40.871920000,-98.463380000,1912.0,238.9,0.0,7.578,348.44,,,,,,,
T,40.871672000,-98.463928000,1911.6,238.9,0.2,7.611,176.45,,,,,,,
T,40.871425000,-98.464471000,1912.6,238.9,0.1,7.644,175.08,,,,,,,
T,40.871283000,-98.464808000,1913.4,239.1,0.2,7.665,106.60,,,,,,,
T,40.870787000,-98.466028000,1913.1,240.0,0.2,7.737,382.76,,,,,,,
T,40.870641000,-98.466368000,1913.6,240.5,0.1,7.758,108.04,,,,,,,
T,40.870162000,-98.467430000,1914.0,240.3,0.1,7.822,341.66,,,,,,,
T,40.869669000,-98.468512000,1914.5,240.1,0.2,7.888,349.02,,,,,,,
T,40.869191000,-98.469562000,1914.9,239.8,0.1,7.952,338.62,,,,,,,
T,40.868662000,-98.470723000,1915.7,239.1,0.2,8.023,374.51,,,,,,,
T,40.868547000,-98.470977000,1915.8,239.0,0.2,8.039,81.80,,,,,,,
T,40.868350000,-98.471408000,1915.9,238.9,0.2,8.065,139.15,,,,,,,
T,40.868178000,-98.471786000,1916.8,238.9,0.1,8.088,121.89,,,,,,,
T,40.868009000,-98.472140000,1916.1,238.8,0.1,8.110,115.66,,,,,,,
T,40.867784000,-98.472633000,1916.5,238.7,0.3,8.140,159.10,,,,,,,
T,40.867554000,-98.473126000,1916.5,238.6,0.0,8.171,160.05,,,,,,,
T,40.867369000,-98.473481000,1918.2,238.0,0.3,8.193,119.10,,,,,,,
T,40.867277000,-98.473652000,1917.0,237.4,0.3,8.204,57.97,,,,,,,
T,40.866952000,-98.474300000,1918.6,237.1,0.5,8.245,214.81,,,,,,,
T,40.867020000,-98.474300000,1918.5,238.8,0.2,8.250,24.78,,,,,,,
T,40.866952000,-98.474300000,1918.6,235.9,0.1,8.254,24.78,,,,,,,
T,40.865696000,-98.477000000,1920.2,237.8,0.1,8.420,875.85,,,,,,,
T,40.862552000,-98.483885000,1920.8,238.6,0.1,8.841,2222.35,,,,,,,
T,40.858762000,-98.492169000,1925.7,238.8,0.1,9.348,2675.37,,,,,,,
T,40.856152000,-98.497877000,1928.3,238.6,0.1,9.697,1843.23,,,,,,,
T,40.852424000,-98.506017000,1931.3,238.8,0.1,10.195,2629.78,,,,,,,
T,40.849589000,-98.512226000,1934.7,238.9,0.1,10.575,2004.38,,,,,,,
T,40.845302000,-98.521568000,1937.4,238.8,0.1,11.147,3019.94,,,,,,,
T,40.844694000,-98.522926000,1938.7,238.8,0.1,11.229,436.17,,,,,,,
T,40.843982000,-98.524465000,1939.6,238.8,0.2,11.324,498.61,,,,,,,
T,40.843740000,-98.524998000,1940.3,238.8,0.1,11.356,171.82,,,,,,,
T,40.843590000,-98.525328000,1941.6,238.8,0.1,11.376,106.41,,,,,,,
T,40.841142000,-98.530698000,1940.4,238.9,0.0,11.704,1732.97,,,,,,,
